date,open,high,low,close,volume,number of trades,Bitcoin BTC,sentiment
2018-04-26 21:00:00,9123.99000000,9169.90000000,9066.02000000,9099.00000000,1665.17130100,12579,64.0,0.17638888888888887
2018-04-26 22:00:00,9100.00000000,9235.99000000,9096.01000000,9221.00000000,1967.66061700,12758,65.0,0.15020833333333333
2018-04-26 23:00:00,9221.00000000,9307.48000000,9188.00000000,9266.00000000,2389.46942200,14605,54.0,0.46181513798701296
2018-04-27 00:00:00,9267.03000000,9297.00000000,9177.00000000,9210.32000000,1809.23187200,11799,62.0,0.22376190476190477
2018-04-27 01:00:00,9210.29000000,9292.00000000,9210.21000000,9249.97000000,1355.44831200,8863,69.0,0.19916924345495773
2018-04-27 02:00:00,9240.00000000,9282.00000000,9233.51000000,9255.49000000,1056.39558000,6744,64.0,0.2170770202020202
2018-04-27 03:00:00,9255.50000000,9258.00000000,9123.25000000,9143.01000000,2050.03220600,13007,72.0,0.05918181818181818
2018-04-27 04:00:00,9143.01000000,9235.00000000,9104.88000000,9204.99000000,1504.84260500,10814,62.0,0.18720238095238095
2018-04-27 05:00:00,9205.00000000,9229.59000000,9160.00000000,9180.82000000,955.19916400,6736,73.0,0.15327550054112551
2018-04-27 06:00:00,9184.99000000,9265.70000000,9176.99000000,9250.00000000,1653.66654900,9734,67.0,0.14777777777777779
2018-04-27 07:00:00,9249.99000000,9250.00000000,9188.00000000,9240.97000000,1007.54720400,7199,60.0,0.17322706228956228
2018-04-27 08:00:00,9240.97000000,9296.00000000,9230.00000000,9260.00000000,1337.00686400,9197,56.0,0.0
2018-04-27 09:00:00,9260.00000000,9387.48000000,9241.20000000,9369.00000000,1954.84524900,12262,64.0,0.008333333333333335
2018-04-27 10:00:00,9369.00000000,9395.00000000,9328.05000000,9365.00000000,1616.75619600,10672,69.0,0.10336432506887051
2018-04-27 11:00:00,9363.31000000,9367.97000000,9280.59000000,9309.00000000,1330.91682300,9017,63.0,0.23991326530612245
2018-04-27 12:00:00,9308.90000000,9355.00000000,9253.68000000,9290.07000000,1309.37678800,9822,53.0,0.08208333333333334
2018-04-27 13:00:00,9290.01000000,9318.62000000,9150.10000000,9225.00000000,2525.07232500,17118,56.0,0.12589285714285717
2018-04-27 14:00:00,9226.97000000,9290.00000000,9202.00000000,9288.88000000,1401.05867500,12470,52.0,0.2422725340136054
2018-04-27 15:00:00,9280.14000000,9288.88000000,9210.01000000,9241.21000000,1359.95917000,11947,44.0,0.16458333333333336
2018-04-27 16:00:00,9241.20000000,9328.26000000,9241.00000000,9282.10000000,1395.51210100,12170,55.0,0.15625
2018-04-27 17:00:00,9286.01000000,9319.99000000,9266.00000000,9290.10000000,1122.23008200,9184,53.0,0.18622564935064934
2018-04-27 18:00:00,9290.10000000,9296.31000000,9213.80000000,9230.89000000,1001.90714200,10563,54.0,0.1111111111111111
2018-04-27 19:00:00,9230.89000000,9250.56000000,9075.01000000,9089.00000000,2097.18544000,16834,60.0,0.0
2018-04-27 20:00:00,9089.12000000,9163.38000000,8940.00000000,8970.00000000,3084.06610800,22787,51.0,0.22916666666666666
2018-04-27 21:00:00,8969.99000000,9053.00000000,8909.83000000,8975.35000000,1911.23365400,13246,61.0,-0.02611111111111112
2018-04-27 22:00:00,8975.36000000,9093.09000000,8975.36000000,9031.00000000,1077.08797600,7025,54.0,0.0
2018-04-27 23:00:00,9032.00000000,9073.93000000,8889.00000000,8915.35000000,1324.76895100,9261,51.0,-0.027083333333333348
2018-04-28 00:00:00,8915.35000000,9049.76000000,8870.00000000,9010.11000000,1754.04032000,11357,58.0,0.1287037037037037
2018-04-28 01:00:00,9005.98000000,9126.81000000,9000.00000000,9126.81000000,1298.86144800,8562,51.0,0.17777777777777778
2018-04-28 02:00:00,9126.81000000,9129.17000000,9050.00000000,9055.78000000,1317.63605800,8105,50.0,0.008333333333333333
2018-04-28 03:00:00,9053.47000000,9196.32000000,9051.00000000,9155.00000000,1089.06866900,8623,61.0,0.09999999999999999
2018-04-28 04:00:00,9155.01000000,9168.71000000,9111.21000000,9138.53000000,916.92033000,6085,67.0,0.0
2018-04-28 05:00:00,9138.54000000,9188.50000000,9127.64000000,9164.49000000,934.02532300,6144,66.0,0.0
